epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9104,1.5006,2.81665,1.53363,0.79425,0.10392,0.20008,0.10877,1.55431,2.96799,1.50533,0.000364262,0.000364262,0.000364262
2,43.0198,1.46848,2.07773,1.53042,0.4414,0.30708,0.30133,0.1534,1.59251,2.40386,1.62115,0.000710354,0.000710354,0.000710354
3,63.2548,1.44388,1.93865,1.49189,0.38794,0.31772,0.27124,0.13177,1.67718,2.58076,1.72206,0.001032,0.001032,0.001032
4,83.9974,1.46495,1.89705,1.51195,0.47257,0.40071,0.37192,0.18316,1.61471,2.2878,1.60666,0.00100101,0.00100101,0.00100101
5,103.005,1.42336,1.83333,1.47659,0.49836,0.37734,0.38248,0.19294,1.55347,2.07724,1.53519,0.000964348,0.000964348,0.000964348
6,121.866,1.39647,1.73771,1.45808,0.60198,0.42229,0.45287,0.23231,1.53166,1.85784,1.51275,0.000927685,0.000927685,0.000927685
7,141.863,1.35262,1.66557,1.45341,0.50402,0.40792,0.38936,0.20079,1.55577,1.91404,1.50092,0.000891022,0.000891022,0.000891022
8,161.708,1.33189,1.63344,1.43552,0.62604,0.43082,0.46834,0.2486,1.50349,1.74632,1.47304,0.000854359,0.000854359,0.000854359
9,180.419,1.3291,1.60131,1.42061,0.62313,0.45248,0.47362,0.25569,1.4943,1.85383,1.49884,0.000817696,0.000817696,0.000817696
10,199.273,1.27383,1.52339,1.39222,0.63783,0.48133,0.5109,0.27366,1.45491,1.68999,1.45776,0.000781033,0.000781033,0.000781033
11,218.841,1.27946,1.52157,1.38142,0.61221,0.47887,0.51767,0.27869,1.44659,1.70102,1.44288,0.00074437,0.00074437,0.00074437
12,238.789,1.26382,1.44922,1.3715,0.67821,0.49043,0.53843,0.29022,1.42834,1.54743,1.39843,0.000707707,0.000707707,0.000707707
13,257.529,1.25382,1.4096,1.34738,0.63521,0.47184,0.51,0.27075,1.45226,1.61945,1.42064,0.000671044,0.000671044,0.000671044
14,276.435,1.25513,1.38905,1.36544,0.70099,0.51564,0.57784,0.3191,1.37637,1.50849,1.38999,0.000634381,0.000634381,0.000634381
15,296.148,1.23762,1.35199,1.33832,0.72161,0.53479,0.58719,0.32437,1.37275,1.48828,1.37789,0.000597718,0.000597718,0.000597718
16,315.966,1.19513,1.32468,1.32251,0.70775,0.54567,0.60633,0.3419,1.38,1.41682,1.37266,0.000561055,0.000561055,0.000561055
17,334.839,1.17563,1.29855,1.30766,0.77139,0.53047,0.61218,0.348,1.3746,1.38566,1.36545,0.000524392,0.000524392,0.000524392
18,353.436,1.16561,1.27247,1.29317,0.75995,0.53491,0.61221,0.34749,1.34629,1.3706,1.33832,0.000487729,0.000487729,0.000487729
19,372.596,1.15777,1.23227,1.29657,0.72946,0.55315,0.61482,0.34594,1.32662,1.36501,1.31799,0.000451066,0.000451066,0.000451066
20,392.972,1.17639,1.21662,1.29183,0.79116,0.55873,0.64725,0.37886,1.29475,1.29293,1.31525,0.000414403,0.000414403,0.000414403
21,412.511,1.18708,1.20106,1.31283,0.79057,0.58094,0.65638,0.3862,1.27243,1.2643,1.29319,0.00037774,0.00037774,0.00037774
22,429.924,1.13821,1.13283,1.27885,0.792,0.58168,0.65699,0.38542,1.3116,1.27719,1.31264,0.000341077,0.000341077,0.000341077
23,446.935,1.11771,1.09824,1.26584,0.82366,0.57831,0.6721,0.39812,1.25894,1.20974,1.27434,0.000304414,0.000304414,0.000304414
24,464.302,1.11453,1.05748,1.25925,0.81551,0.60275,0.6872,0.41504,1.24843,1.16617,1.28163,0.000267751,0.000267751,0.000267751
25,482.556,1.08457,1.01755,1.24929,0.81211,0.60688,0.68486,0.41291,1.23996,1.15496,1.26405,0.000231088,0.000231088,0.000231088
26,500.379,1.06453,0.99439,1.23622,0.8388,0.60874,0.69582,0.42424,1.2268,1.12378,1.25519,0.000194425,0.000194425,0.000194425
27,517.598,1.05748,0.98023,1.22631,0.8574,0.59737,0.69962,0.42561,1.2288,1.11514,1.25167,0.000157762,0.000157762,0.000157762
28,534.354,1.02672,0.94654,1.2027,0.82171,0.61514,0.70468,0.43194,1.21519,1.09413,1.24168,0.000121099,0.000121099,0.000121099
29,551.488,1.02123,0.91797,1.19533,0.85042,0.61044,0.71001,0.43566,1.2094,1.08393,1.23918,8.4436e-05,8.4436e-05,8.4436e-05
30,568.602,1.02443,0.91967,1.20321,0.83653,0.62297,0.71202,0.44292,1.19229,1.0663,1.22847,4.7773e-05,4.7773e-05,4.7773e-05
